algorithm,train_time,pred_time
LVQ3,4.5054132488038805,0.014439975553088718
LVQ2.1,4.32322212656339,0.01537116699748569
LVQ2,3.818954584333632,0.016711002588272093
LVQ,3.100174362129635,0.020759256680806477
KNNI,0.5223387108908759,0.03416863481203715
EFDT,100.43246630496449,0.0742003771993849
SEVQ,6.967069234450658,0.07942532102266947
EVQ,13.591359453731114,0.12188875940110948
OB,62.33167630434036,0.14999927348560757
SFAM,20.070669286780888,0.20909440451198155
HAT,8.599079653289582,0.23971982333395217
HT,4.975474070178138,0.2889472477965885
ARF,40.751397891839346,0.4725865271356371
NB,0.6924964745839437,0.6434484442075094
DWM,15.526784927977456,1.109270915057924
AEE,19.3073932270209,1.3571137573983933
